Company,PageRank
GOOG,0.034034271086370374
UNH,0.030674145559904317
BA,0.026073239938988347
MSFT,0.021478764153218723
AMZN,0.020041830710983154
UPS,0.01868451694122552
LMT,0.018253010982270005
JPM,0.01738026073705297
CVS,0.013693341100190683
RTX,0.013110674110064252
NOC,0.012218544618885193
HD,0.011934545884531552
BAC,0.010577362945696271
PFE,0.009706527413793145
MRK,0.008607130532145147
WFC,0.007244123984293984
AAPL,0.007109229763123759
GD,0.006776867923138651
XOM,0.006660331743808135
C,0.0062951840324923635
V,0.006256329943020708
T,0.005400755834624173
GOOGL,0.004607221700672417
ANTM,0.004526079889512414
DUK,0.004212736957801861
UNP,0.003999369081148809
BOEING,0.003949222668442662
WMT,0.0038786124522839074
MGM,0.0036031125829245046
LVS,0.0036031125829245046
WYNN,0.0036031125829245046
DIS,0.003598229291208421
HON,0.0034421575872070793
WELLS FARGO,0.003360975564132163
CI,0.0033593097232072254
AEP,0.003282843862141209
JNJ,0.003258944003767324
CMCSA,0.003223745481270329
MMC,0.002974840660267652
KO,0.002813615633137606
SO,0.0027518748698563585
VZ,0.0027091738289986888
HUM,0.0026444781539216576
MPC,0.002570588913997255
PSX,0.002570588913997255
CHS,0.002570588913997255
CVX,0.002570588913997255
COP,0.002570588913997255
SLB,0.002570588913997255
HAL,0.002570588913997255
WMB,0.002570588913997255
KMI,0.002570588913997255
INTC,0.002512462438108197
PNC,0.002489292915163498
FB,0.0023989606067220926
AFL,0.0023279725112757364
FDX,0.0022394257367338217
CNP,0.00222604478082185
NRG,0.00222604478082185
NEE,0.00222604478082185
FE,0.00222604478082185
EXC,0.00222604478082185
D,0.00222604478082185
CMS,0.00222604478082185
ATVI,0.0021588899855798775
AMAZON,0.0021588899855798775
RAYTHEON,0.0021588899855798775
DOMINION ENERGY,0.0021588899855798775
GOLDMAN SACHS,0.0021588899855798775
AET,0.0020805384635010564
COMCAST,0.001981508805364444
PECO,0.001981508805364444
TXT,0.0019465495523640838
CACI,0.0019465495523640838
BAH,0.0019334633158177108
PG,0.0019235185712568855
LOCKHEED MARTIN,0.001914786477369154
NKE,0.0017122252757797497
RAY,0.0017097423937983626
F,0.0015397172723016607
DE,0.0015010759137315925
ADM,0.0015010759137315925
MCK,0.0014777079876164686
LLY,0.0014777079876164686
BAX,0.0014777079876164686
CAT,0.0014692274594642267
NUE,0.0014692274594642267
NIKE,0.0014343926591179489
WM,0.0014343926591179489
LHX,0.0014236158065067893
ICE,0.0014036096880358146
UTX,0.0013902734146942158
MMM,0.0013902734146942158
ING,0.0013834414322372761
BRK.B,0.0013834414322372761
EXXON,0.0013643351832549008
CHEVRON,0.0013643351832549008
CHRW,0.00132579954444973
AMGN,0.0013251879406831581
NVDA,0.001324247849239737
NVR,0.0013160171256506015
USB,0.0013102186588600138
HOME,0.0012974908203529473
BAE,0.001292663049504123
NFLX,0.0012826056996663826
