Name,ret_1m,ret_3m,ret_6m,ret_9m,ret_11m,ret_24m
Brian Mast,-0.1580976351163984,-0.47457865353710493,-0.7102256228466055,-0.7215081271796812,,
"Capito, Shelley Moore",0.26563755479311585,,,,,
Carol Devine Miller,-0.0420754101743561,-0.12202977529904076,-0.2513612094108344,,,
"Carper, Thomas R.",-0.02729259687782624,-0.033221492483162966,-0.15293852088976442,-0.4013626199693637,-0.3832474193960669,
"Cassidy, Bill",0.5049918938548891,,,,,
Dean Phillips,,,,,,
Donald Sternoff Beyer Jr,-0.1576705794687092,-0.12757727308937655,-0.28264572167830854,-0.19548718328041054,,
Harley E. Rouda Jr.,,,,,,
James E. Banks,0.11773057382864774,-0.062069315712142546,-0.5637528994061481,-0.4556958676172853,,
James R. Langevin,-0.052930006614425505,0.23818530018296485,0.12287336484965568,0.35727786013509727,,
John A. Yarmuth,-0.1580976351163984,-0.47457865353710493,-0.7102256228466055,-0.7215081271796812,,
John Curtis,0.3080825804920626,,,,,
Josh Gottheimer,-0.1256305521478313,-0.23791280638390178,-0.2551262003943588,-0.42093535482048966,-0.11484599005406634,
Kathy Castor,,,,,,
Lloyd Doggett,0.035381212212150244,-0.21185717985285307,-0.25668826970203806,-0.2774648346409367,,
"Loeffler, Kelly",-0.32086959654428765,0.33100081067726045,,,,
Mark Dr Green,-0.06050579529191308,1.0461239755936642,1.7690471632405742,0.7601352746343571,1.1513623161603732,
Michael Garcia,0.01837692363588477,-0.1267288028924772,-0.33446640540344397,-0.42041638867084175,,
"Moran, Jerry",-0.28250605607018364,-0.5694573047493651,-0.616086307257993,,,
Nancy Pelosi,0.09563560344979946,,,,,
Peter Welch,-0.08667149961038717,,,,,
Richard W. Allen,0.051602288350503796,0.19066542156712835,,,,
Rick Larsen,-0.0625693355084802,-0.18214243321411094,-0.34991364976712996,-0.5739003269024565,,
Susan W. Brooks,-0.15237511443225868,0.12389976386975059,,,,
Suzan K. Delbene,0.11626545553492529,-0.11858907879361134,-0.18042364478201273,,,
Thomas Suozzi,,,,,,
"Wyden, Ron",-0.04535740181068387,-0.10823557330721147,0.09429612346793971,,,
Zoe Lofgren,0.03332228770057927,-0.08747977507211252,,,,
