company,connected_politicians,suspicious_politicians,pagerank
GOOG,22,22,0.03495909224541615
UNH,21,21,0.034462609789749105
AMZN,17,17,0.02684095900871213
MSFT,16,16,0.02562290684037771
BA,13,13,0.020839413918119394
JPM,11,11,0.018560127919899565
LMT,10,10,0.018259450648594425
UPS,7,7,0.0159159861482297
NOC,7,7,0.013618151158679266
AAPL,5,5,0.013448155023846812
WFC,6,6,0.013410396181933994
RTX,6,6,0.011851653260954637
MRK,6,6,0.011768586296472002
PFE,6,6,0.010891524969579883
HD,6,6,0.010825639557434888
CVS,7,7,0.010443714063913987
V,6,6,0.009559978907180942
T,5,5,0.009402132911511202
CMCSA,2,2,0.008530809555304534
BAC,5,5,0.007522913914532098
GD,2,2,0.007182074582999129
AET,2,2,0.006947680820773628
ANTM,2,2,0.006544011693693584
HUM,2,2,0.006544011693693584
BOEING,1,1,0.0064683985538685485
RAYTHEON,1,1,0.0064683985538685485
ATVI,1,1,0.0064683985538685485
AMAZON,1,1,0.0064683985538685485
WELLS FARGO,1,1,0.0064683985538685485
DOMINION ENERGY,1,1,0.0064683985538685485
GOLDMAN SACHS,1,1,0.0064683985538685485
INTC,1,1,0.006466507328462331
NVDA,1,1,0.006466507328462331
XOM,3,3,0.006257484153757228
C,3,3,0.0054427261355985985
DIS,2,2,0.00528853189780916
TXT,1,1,0.004714054656871179
CACI,1,1,0.004714054656871179
LHX,1,1,0.004714054656871179
BAH,1,1,0.004714054656871179
WMT,3,3,0.0044280410311517875
MCK,1,1,0.0043103855297911345
CI,1,1,0.0043103855297911345
LLY,1,1,0.0043103855297911345
BAX,1,1,0.0043103855297911345
JNJ,1,1,0.004247379356732933
UNP,2,2,0.0041014647557104334
NKE,1,1,0.003848217760546526
FB,1,1,0.003843661657447185
SO,1,1,0.003608389597750031
AFL,1,1,0.003608389597750031
KO,1,1,0.003055472550095022
MMC,1,1,0.003055472550095022
CHEVRON,1,1,0.0029974115989394017
EXXON,1,1,0.0029974115989394017
ICE,1,1,0.002965936152664025
FDX,1,1,0.0028253516362203935
GOOGL,1,1,0.002795443609583677
